workerid,proliferate.condition,age,ethnicity,gender,race,error
19,2,35,non_hispanic,male,white,
121,2,33,non_hispanic,male,white,
9,2,26,non_hispanic,female,asian,
60,2,27,non_hispanic,male,white,
102,2,31,non_hispanic,male,white,
15,2,38,non_hispanic,male,white,
118,2,24,non_hispanic,male,multiracial,
92,2,48,non_hispanic,male,white,
69,2,38,non_hispanic,female,white,
77,2,61,non_hispanic,female,white,
50,2,20,non_hispanic,female,black,
29,2,30,non_hispanic,female,white,
131,2,31,non_hispanic,male,white,
127,2,23,non_hispanic,male,asian,
34,2,24,non_hispanic,male,white,
72,2,33,non_hispanic,male,white,
39,2,53,non_hispanic,female,multiracial,
140,2,35,non_hispanic,male,white,
44,2,49,non_hispanic,male,white,
87,2,34,non_hispanic,male,white,
100,0,46,non_hispanic,female,white,
8,0,45,non_hispanic,female,white,
117,0,36,non_hispanic,female,white,
33,0,22,non_hispanic,non-binary,white,
137,0,35,non_hispanic,male,asian,
64,0,28,non_hispanic,male,multiracial,
38,0,29,hispanic,male,multiracial,
28,0,22,non_hispanic,male,asian,
14,0,70,non_hispanic,female,white,
70,0,51,non_hispanic,female,white,
85,0,24,non_hispanic,male,white,
95,0,33,non_hispanic,female,black,
59,0,31,non_hispanic,male,asian,
18,0,29,non_hispanic,female,white,
105,0,37,non_hispanic,male,white,
23,0,22,non_hispanic,female,white,
75,0,31,non_hispanic,male,white,
90,0,22,non_hispanic,male,white,
43,0,54,non_hispanic,female,white,
142,0,34,non_hispanic,female,white,
109,4,43,non_hispanic,female,white,
37,4,55,non_hispanic,male,black,
27,4,24,hispanic,male,other,
13,4,28,non_hispanic,female,white,
89,4,27,non_hispanic,male,black,
113,4,25,non_hispanic,male,white,
104,4,64,non_hispanic,female,white,
68,4,43,non_hispanic,female,white,
119,4,35,non_hispanic,male,white,
7,4,28,non_hispanic,female,white,
99,4,36,non_hispanic,male,asian,
124,4,35,non_hispanic,male,black,
32,4,63,non_hispanic,female,black,
84,4,38,non_hispanic,female,white,
122,4,50,non_hispanic,female,white,
22,4,29,non_hispanic,female,white,
42,4,36,hispanic,male,multiracial,
115,4,39,non_hispanic,male,white,
116,4,40,non_hispanic,female,white,
58,4,48,hispanic,male,multiracial,
17,4,24,non_hispanic,male,black,
91,3,30,non_hispanic,male,white,
71,3,22,non_hispanic,female,black,
51,3,25,non_hispanic,male,black,
106,3,42,hispanic,male,multiracial,
36,3,38,non_hispanic,male,white,
76,3,31,non_hispanic,male,black,
66,3,59,non_hispanic,female,white,
136,3,28,non_hispanic,female,white,
128,3,39,non_hispanic,male,multiracial,
132,3,21,hispanic,female,other,
31,3,35,non_hispanic,female,white,
16,3,42,non_hispanic,male,black,
56,3,47,non_hispanic,female,white,
46,3,52,hispanic,female,multiracial,
61,3,51,non_hispanic,female,white,
96,3,39,non_hispanic,female,white,
6,3,36,non_hispanic,male,white,
21,3,67,non_hispanic,female,white,
86,3,38,non_hispanic,female,white,
26,3,26,non_hispanic,female,white,
11,1,25,non_hispanic,male,white,
45,1,32,non_hispanic,prefer not to say,white,
10,1,24,hispanic,male,other,
141,1,34,hispanic,male,multiracial,
138,1,23,non_hispanic,male,asian,
125,1,33,non_hispanic,male,black,
139,1,32,non_hispanic,female,white,
143,1,36,non_hispanic,male,white,
98,1,38,non_hispanic,female,white,
88,1,46,non_hispanic,female,white,
78,1,41,non_hispanic,male,white,
93,1,35,non_hispanic,male,multiracial,
52,1,32,non_hispanic,female,white,
57,1,35,non_hispanic,female,white,
20,1,28,non_hispanic,female,white,
40,1,31,non_hispanic,female,white,
30,1,36,non_hispanic,male,white,
120,1,39,non_hispanic,male,black,
83,1,35,hispanic,male,white,
67,1,41,non_hispanic,male,asian,
