workerid,proliferate.condition,prolificPid,error
19,2,0c331fa3-43eb-45f9-b0f6-b5765106c932,
121,2,0ebb0749-77d8-4acb-9ee6-9cc7303c29f5,
9,2,1064630b-153b-4756-88e4-7aa5d29ab62e,
60,2,21e4d374-8a91-4e03-9300-44bcf94499c1,
102,2,295f1f76-b03d-4428-811b-bce9c52c02f8,
15,2,2cf783cb-6bee-4d6a-bc51-e388fc61d1bc,
118,2,31e53f1a-d3c0-408b-a28e-d3eef83b8672,
92,2,39e5eacd-a45e-4575-bafe-47308d5f73fd,
69,2,50156ef5-0160-4200-8897-b869f666c1ec,
77,2,6202329c-3b2d-4cb1-9c2c-8280016d11b4,
50,2,6e513b90-55cf-464b-8944-885e6ec63c0b,
29,2,75c94a7f-fbb9-473d-a7a2-d3ffe0091fdf,
131,2,9fa69c69-5d4f-43dc-b4f5-37e678ac45fa,
127,2,bc39792c-08b5-4515-a9e1-68a89df7e8b4,
34,2,bd71b744-00e0-477d-8333-154b203f038b,
72,2,c0f03efd-14f9-4f6e-a537-11aa58bffa55,
39,2,cc584250-ec9c-490e-9864-c374866e1e51,
140,2,ce77783e-ce8c-48f1-8510-42d05993864f,
44,2,d32bce91-d956-42d6-a838-4269acc7dd08,
87,2,f4f30114-f0c2-49cb-a96a-bfb4fc987bd2,
100,0,113e894c-9f81-438f-89d3-96811fc0a1aa,
8,0,19e42f08-f061-404d-b926-63dbad2c163c,
117,0,1ad63aa7-3dc9-44b6-bc85-4b21dd377ab9,
33,0,208a3424-dff3-4f98-a96f-3488bac5d147,
137,0,246c4123-bb2a-4fed-873a-68b2ef555fd6,
64,0,26f5dffe-1d9a-4a78-9a21-15b4b6074a9c,
38,0,2b43f5da-6ea6-4094-8376-76ed004f78ca,
28,0,49c203ef-8aa7-4d95-bda3-e62703f8996e,
14,0,5b87da92-baab-4632-8ac8-403856d31d6f,
70,0,5ea9cd58-3d0c-40b6-89a1-0437dbf3422c,
85,0,70cec4d4-517a-4b85-8d71-e2aecb7ea9b4,
95,0,843b9add-742b-49dd-9c80-c14b64680eb5,
59,0,860812cc-76d1-4f58-a25a-81c813f23311,
18,0,8adead22-8f7f-4e9a-84df-e35832aa7258,
105,0,a5b027f0-6cf3-4416-bd4e-6f2a611ff145,
23,0,afcbb479-b735-4853-8ac4-eac79ca16472,
75,0,b520593a-5ff6-4355-a3a2-05801b09f455,
90,0,b9c152a3-ef50-4fab-bb97-396903239bb5,
43,0,ddbc4d67-19af-437d-8a5a-71ed20f18adb,
142,0,f0d5e096-62fa-416f-9b64-240770ba8155,
109,4,0a2bbe11-e2d2-4cc1-becb-99a1f72102b8,
37,4,17515d9e-3e5d-484c-92c4-d8ce1cc62495,
27,4,1bcfc5b5-489a-483b-80ad-888fe076af37,
13,4,266c8f4c-6074-47f2-b2c2-ee0ff4f07f18,
89,4,2f72db2d-bb44-4791-8c4a-7acb26abd258,
113,4,426847c5-b838-4e3f-b729-d6611bf5bd23,
104,4,4c0f0623-c475-4e48-9f53-f7d6a1a05a05,
68,4,517ba47e-0bc3-482d-a6a4-37fb96796559,
119,4,5ccb7af7-186a-4d31-8a22-8bc01139cb7f,
7,4,77215a0c-2697-4342-83f0-7e668181b1d1,
99,4,8bbff196-1d27-49c2-85b6-0287e0058632,
124,4,91687ce8-4370-4473-b829-12893f9b9aa0,
32,4,9c446020-68cd-482b-bc11-d46c17d618cf,
84,4,9d004859-afdb-4bcb-82bd-38440b3c6599,
122,4,bc78f5bc-72b7-4b75-8a1a-1d4344a0ad45,
