workerid,proliferate.condition,age,ethnicity,gender,race,error
174,0,21,non_hispanic,female,white,
155,0,30,non_hispanic,male,white,
164,0,41,hispanic,male,white,
162,0,21,hispanic,male,black,
166,0,27,non_hispanic,male,white,
159,0,22,non_hispanic,male,white,
156,0,22,hispanic,male,white,
161,0,19,non_hispanic,male,white,
175,0,42,non_hispanic,female,white,
163,0,20,non_hispanic,male,white,
172,0,26,hispanic,male,white,
154,0,20,non_hispanic,female,white,
169,0,40,hispanic,male,multiracial,
165,0,31,non_hispanic,male,white,
158,0,21,non_hispanic,male,white,
171,0,23,hispanic,male,other,
170,0,34,hispanic,female,white,
167,0,42,non_hispanic,male,white,
157,0,21,hispanic,female,white,
153,0,33,non_hispanic,female,white,
