workerid,proliferate.condition,prolificPid,error
184,0,0a206c29-e865-443d-9bc4-7d9fd5968b75,
186,0,1072c2ef-aea7-4158-bc5d-7a8f107c4ea8,
189,0,167d039b-3299-422b-9fd2-15b22293e113,
195,0,25844c87-9901-40b2-ade0-3d16b415f379,
199,0,3e7a2ab3-15ef-4d8a-b559-10d62937fb60,
182,0,42b8071d-efb0-4071-a9be-adda22c57bf8,
180,0,4ef59234-3a59-4e95-92e3-4e0c0a588af7,
197,0,53bf9b7e-c274-4f17-8089-c3d6295ee46b,
179,0,56a9cd4c-4a38-4c9f-ad57-d4486775d0b4,
188,0,91fe2b39-a4b0-4ac4-8494-f347830b5a3b,
202,0,a0fb8850-a354-4d9f-8c80-7b352a5e5e8f,
191,0,a824c350-ae5e-4c3b-96de-aeffb89029ca,
187,0,ae8c2dc9-4ace-4ebf-ba94-f0b249faeef3,
201,0,af1bbe96-69e2-44e0-b813-eadf8ac54832,
204,0,afb8af14-0d10-4ebf-ab61-fc184c498692,
185,0,b1da8c41-0319-4fcd-89af-aec8af971b27,
205,0,dc8182dd-abdf-4ee9-a430-bffb2174c88d,
194,0,e08b19cf-af16-4740-9a0b-e9ea40a56601,
203,0,e0bdf042-92bf-4354-8f40-73b5b4abf168,
183,0,eda6f239-6149-44f9-bd86-2466387bcb3e,
